Window_ID,Status,Modulation,Confidence
6791,BUSY,QAM64,0.7801
6792,BUSY,QAM64,0.8463
6793,BUSY,QAM64,0.7557
6794,BUSY,QAM64,0.7901
6795,FREE,Noise/Hole,0.7149
6796,BUSY,QAM64,0.8347
6797,BUSY,QAM64,0.7974
6798,FREE,Noise/Hole,0.7491
6799,FREE,Noise/Hole,0.7014
6800,BUSY,QAM64,0.8899
6801,FREE,Noise/Hole,0.7145
6802,BUSY,QAM64,0.7677
6803,BUSY,QAM64,0.7675
6804,BUSY,QAM64,0.756
6805,FREE,Noise/Hole,0.733
6806,FREE,Noise/Hole,0.7076
6807,BUSY,QAM64,0.8511
6808,BUSY,QAM64,0.8324
6809,FREE,Noise/Hole,0.7195
6810,BUSY,QAM64,0.7872
6811,BUSY,QAM64,0.7747
6812,FREE,Noise/Hole,0.7359
6813,FREE,Noise/Hole,0.7482
6814,BUSY,QAM64,0.8283
6815,BUSY,QAM64,0.8232
6816,FREE,Noise/Hole,0.7486
6817,FREE,Noise/Hole,0.7334
6818,BUSY,QAM64,0.8327
6819,BUSY,QAM64,0.7898
6820,BUSY,QAM64,0.8358
6821,BUSY,QAM64,0.8549
6822,FREE,Noise/Hole,0.7468
6823,FREE,Noise/Hole,0.7377
6824,BUSY,QAM64,0.7556
6825,FREE,Noise/Hole,0.746
6826,BUSY,QAM64,0.8562
6827,BUSY,QAM64,0.8335
6828,BUSY,QAM64,0.8835
6829,FREE,Noise/Hole,0.6753
6830,BUSY,QAM64,0.7999
6831,BUSY,QAM64,0.8765
6832,BUSY,QAM64,0.795
6833,BUSY,QAM64,0.7548
6834,FREE,Noise/Hole,0.7185
6835,BUSY,QAM64,0.7556
6836,BUSY,QAM64,0.7741
6837,FREE,Noise/Hole,0.7202
6838,BUSY,QAM64,0.797
6839,BUSY,QAM64,0.7569
6840,BUSY,QAM64,0.7903
6841,BUSY,QAM64,0.7633
6842,FREE,Noise/Hole,0.7293
6843,BUSY,QAM64,0.7773
6844,FREE,Noise/Hole,0.7037
